No. tar.,No.,Tema, ,Opción A,Opción B,Opción C
T025,2,Historia Universal,"La batalla mas cruenta de la I Guerra Mundial, entre alemanes y franceses, donde cayeron 700,000 soldados, ocurrió en la ciudad francesa de...",Verdún *,Vichy,La havre
,,,,,,
T025,3,Geografía Universal,"Único continente que se extiende prácticamente de polo a polo, a lo largo de 15 mil kilómetros.",Africano,Asiático,Américano *
,,,,,,
T025,4,"Artes, Deportes y Entretenimientos",¿Qué emblemático pitcher lanzó el primer juego perfecto en la historia de las Grandes Ligas?,Cy Young *,Sandy Koufax,Babe Ruth
,,,,,,
T025,5,Ciencias y Tecnología,"¿Quién inventó el lenguaje simbólico de la Química, en el cual cada elemento está representado por una o dos letras del alfabeto?",Paracelso,Jacob Berzelius *,Antoine-Laurent de Lavoisier
,,,,,,
T025,6,Cultura General,¿En que fecha se conmemora el Día Internacional de laMujer ?,22 de junio,14 de mayo,8 de Marzo *
,,,,,,
T026,1,México,Madero usó un lema de Pofirio Díaz para competir con él en las elecciones de 1910; ¿Cual fué ? ,Patria o muerte,La tierra es de quien la trabaja,"Sufragio efectivo,no reelección.*"
,,,,,,
T026,2,Historia Universal,"Duró casi tres veces mas que la II guerra Mundial, involucró a 43 países y costó mas de dos millones de vida",Guerra de Vietnam*,Guerra de Corea,Guerra Arabe-Israelí
,,,,,,
T026,3,Geografía Universal,¿Qué azulado río europeo tiene a bien nacer en la Selva Negra y morir en el Mar Negro?,Rin,Támesis,Danubio*
,,,,,,
T026,4,"Artes, Deportes y Entretenimientos",¿Qué filme de 'lengua extranjera'ha sido el único en ganar el Oscar como Mejor Película?,Roma,Parásitos*,El artista
,,,,,,
T026,5,Ciencias y Tecnología,"La única misión en la vida de este 'inútl' insecto es de irse de luna de miel con una regia hembra, para fecundarla, después de lo cual muere",Piojo,Zángano*,pulga
,,,,,,
T026,6,Cultura General,"Primero dijo: Yo sólo sé que no sé nada, y antes de morir probablemente dijo: ¡Que feo sabe la Cicuta¡",Sócrates*,Julio César,Napoleón Bonaparte
,,,,,,
T027,1,México,"Los acuerdos de Guerero e Iturbide reconociendo nuestra independencia se formalizaron el 24 de Febrero de 1821, en el llamado Plan de...",San Luis,Iguala *,Guadalupe
,,,,,,
T027,2,Historia Universal,"En 1967 Israel peleó contra 8 países árabes y como resultado cuadruplicó su territorio,¿cuánto duró esta guerra ?",6 meses,6 semanas,6 días *
,,,,,,
T027,3,Geografía Universal,"Egipto, país de la mitad del tamaño de México, tiene muy pocas ciudades, ¿en cuál de ellas reinó la sensual y ambiciosa Cleopatra?",Karnak,El-Alamein,Alejandría *
,,,,,,
T027,4,"Artes, Deportes y Entretenimientos","Con su victoria en el Super Bowl de 2019, ¿qué mariscal de campo se convirtió en el único en ganar 6 anillos de campeón?",Tom Brady *,Peyton Manning,Aaron Rodgers
,,,,,,
T027,5,Ciencias y Tecnología,Los diamantes se forman a profundidades de 140 a 200 kms. ¿Qué los saca a la superficie para que alguien se haga rico ?,Las erupciones volcánicas *,Los ríos subterráneso,Los temblores
,,,,,,
T027,6,Cultura General,Se llama en realidad Anfiteatro Flavio y tenía cupo para 80 mil espectadores ansiosos de ver correr sangre a raudales...,Capitolio,Coliseo *,Palatino
,,,,,,
T028,1,México,"Primer mártir de la Revolución Mexicana, que murió con su hemano Máximo dos días antes del estallido oficial de la msma",Belisario Domínguez,Filomeno Mata,Aquiles serdán *
,,,,,,
T028,2,Historia Universal,"Isla inglesa donde fue recluído Napoleón Bonaparte en 1815 y donde se dice que lo envenenaron con arsénico, 6 años después.",Madeira,Santa Elena *,Elba
,,,,,,
T028,3,Geografía Universal,"Ciudad alemana donde se juzgó, condenó y ejecutó a criminales de guerra nazis, aunque los mas malosos optaron por el suicidio,",Stuttgart,Dusseldorf,Nuremberg *
,,,,,,
T028,4,"Artes, Deportes y Entretenimientos",¿Qué actriz recibió en 2021 su octava nominación al Oscar y por octava vez no lo ganó ?,Naomi Watts,Viola Davis,Glenn Close *
,,,,,,
T028,5,Ciencias y Tecnología,"¿Qué cuerpos celestes son los mas lejanos, pues para llegar a ellos habría que viajar 13 mil millones de años a la velocidad de la luz ?",Los cuásares *,los púlsares,Los húsares
,,,,,,
T028,6,Cultura General,"Así como hay números cardinales y ordinales, también los hay partitivos, como uno de estos tres.",Tercio *,Tercero,Tres
,,,,,,
T029,1,México,"Al dejar el país Porfirio Díaz en 1911, se hicieron nuevas elecciones y Madero triunfó de calle, ¿a quién eligió  como vicepresidente?",Venustiano Carranza,José Vasconselos,José Ma. Pino Suárez *
,,,,,,
T029,2,Historia Universal,"¿Qué países protagonizaron la llamada  Guerra del Futbol  en las eliminatorias del Mundial México '70, que terminó en empate?",Nicaragua vs Costa Rica,Guatemala vs Panamá,Honduras vs El Slvador *
,,,,,,
T029,3,Geografía Universal,¿En qué país viven sus 100 millones de habitantes en apenas el 4% de su territorio?,Canadá,Egipto *,Australia
,,,,,,
T029,4,"Artes, Deportes y Entretenimientos",Dos pitchers mexicanos triunfaron en la Serie Mundial del 2020: Víctor González y...,Julio Urías *,Oliver Pérez,Antonio Osuna
,,,,,,
T029,5,Ciencias y Tecnología,"¿Qué plantas angiospermas monocotiledóneas alimentan a la humanidad y sostienen, por tanto, la paz mundial? ",Leguminosas,Gramíneas *,Hortalizas
,,,,,,
T029,6,Cultura General,"Nunca antes tantos debieron tanto a tan pocos', esta frase fue dicha con sangre, sudor y lágimas por...",Ho Chi Minh,Simón Bolívar,Winston Churchill *
,,,,,,
T030,1,México,"La Revolución Mexicana no concluyó con la caída de Porfirio Díaz, pues Madero fué víctma de de un mortal golpe de estado en 1913, dirigido por...",Victoriano Huerta *,Pascual Orozco,Aureliano Blanquet
,,,,,,
T030,2,Historia Universal,¿Aproximadamente cuántos años duró ese sombrío periodo de la historia de Europa que llaman Edad Media?,"1,000 *","2,000","3,000"
,,,,,,
T030,3,Geografía Universal,"¿Qué mar se abrió, según la Biblia, para que pasaran Moisés y los judios huyendo de Egipto, y se cerró luego sobre sus perseguidores ?",Golfo Pérsico,El Mar Rojo *,mar de Galilea
,,,,,,
T030,4,"Artes, Deportes y Entretenimientos","Escribió 'Sin novedad en el frente' , una descarnada novela sobre unos jóvenes soldados de la I Guerra Mundial...",Bertolt Brecht,Peter Weiss,Erich Ma. Remarque *
,,,,,,
T030,5,Ciencias y Tecnología,"El padre de la Sociología, ciencia que estudia el desarrollo, la estructura y la función de la sociedad, es Auguste...",Comte *,Renoir,Rodín
,,,,,,
T030,6,Cultura General,"En América Latina todos sus países hablan español, salvo dos: Brasil, que fala portugués y...¿cuál otro que parle francés?",Haití *,jamaica,República Dominicana
,,,,,,
T031,1,México,¿Como se apellidaba el inolvidable José José',Meza,Sosa *,Robles
,,,,,,
T031,2,Historia Universal,"¿Con qué conficto bélico comenzó la llamada Guerra Fría, que en 1950 enfrentó a EE.UU. y la URSS y a sus respectivos aliados?",Segunda Guerra mundial,Guerra de Corea *,Guerra de Vietnam
,,,,,,
T031,3,Geografía Universal,"España está dividida en cierto número de comunidades, política y económicamente autónomas, ¿Cuántas?",17 *,7,71
,,,,,,
T031,4,"Artes, Deportes y Entretenimientos",¿Qué centenario de la muerte de  Miguel de Cervantes y de su colega William Shakespeare se conmemoró en 2016?,Cuarto *,Quinto ,Sexto
,,,,,,
T031,5,Ciencias y Tecnología,"Los protozoarios tienen una sola célula que cumple todas sus funciones básicas, incluso la reproducción, ¿por qué medio?",Apareamiento,División *,Autofecundación
,,,,,,
T031,6,Cultura General,"la vida sin amor es mas triste que un amor sin vida, no te fijes en la frase, solo dí qué preposición contiene",La,Sin *,El ( no aparece en el tema)
,,,,,,
T032,1,México,¿Qué senador chiapaneco publicó un incendiario escrito contra los crímenes de Victoriano Huerta y fue vilmente asesinado por éste?     ,Belisario Domínguez*,Donato Guerra,Filomeno Mata
,,,,,,
T032,2,Historia Universal,Líder máximo de la Rrevolución Francesa que aplicó una política de terror y muerte y que a la postre se volvió en su contra,Jean-Paul Marat,Georges Jacques Danton,Maximilien de Robespierre*
,,,,,,
T032,3,Geografía Universal,"El Oceano Pacífico es mas grande que el Atlántico, ¿qué tanto?",Dos veces*,Tres veces,Cuatro veces
,,,,,,
T032,4,"Artes, Deportes y Entretenimientos",¿Qué tenista japonesa ganó su cuarto título de Grand Slam en el torneo de Australia 2021? ,Kei Nishikore,Li Na,Naomi Osaka*
,,,,,,
T032,5,Ciencias y Tecnología,Nada puede propagarse mas rápido que la Luz'¿quién lo descubrió hace un siglo y nadie ha podido contradecirlo?,Albert Einstein*,Isaac Newton,Johannes Kepler
,,,,,,
T032,6,Cultura General,La esposa de qué personaje bíblico quedó convertida en estatua de sal por andar de curiosa mirando la destrucción de Sodoma ?,Ismael,Sem,Lot *
,,,,,,
T033,1,México,¿Qué pitcher mexicano sigue los pasos de Fernando Valenzuela en los Dodgers de Los Ängeles ?,Víctor González,Julio Urías *,Joakim Soria
,,,,,,
T033,2,Historia Universal,¿Qué presidente de EE.UU. usó la bomba atómica 'para dar fin a la II Guerra Mundial sin mas pérdidas de vidas norteamericanas'?,Harry S. Truman *,Franklin D. Roosevelt,Dwight D. Eisenhower
,,,,,,
T033,3,Geografía Universal,"¿La población de qué continente se duplicó entre los años 1991 (630 mill.) y 2018 (1,300 mill.)?",América,Europa,África *
,,,,,,
T033,4,"Artes, Deportes y Entretenimientos",La tripleta de Duncan-Parker-Ginobili es la que ha jugado más tiempo junta en la historia de la NBA(2002-2016). ¿Enqué equipo?,San Antonio Spurs *,Dallas Mavericks,Oakland Raiders
,,,,,,
T033,5,Ciencias y Tecnología,"El Sol es una estrella que está en la flor de la edad, ¿cuántos millones de años tiene?",3 mil,1 mil,5 mil *
,,,,,,
T033,6,Cultura General,¿Padres?Poseidón y Anfitrite. ¿Domicilio? Fondo del mar.¿Forma? Humana con cola de pez.¿Hobby? Soplar don furia una concha de caracol. ¿nombre?,Nereo,Argos,Tritón *
,,,,,,
T034,1,México,Fué nominada al Oscar como Actriz de Reparto por su interpretación de la patrona de Cleo en la película Roma,Adriana Barraza,Marina de Tavira *,Mariana Treviño
,,,,,,
T034,2,Historia Universal,"¿Qué nación trató en 1982, de recuperar por las armas las Islas Malvinas que están en poder de Gran Bretaña desde el Siglo XVII?",Italia,Argentina *,España
,,,,,,
T034,3,Geografía Universal,Isla vecina de Gran Bretaña donde reside un país angloparlante cuya capital es Dublín...,Islandia,Irlanda *,Manchester
,,,,,,
T034,4,"Artes, Deportes y Entretenimientos","¿Qué libro es una colección de 100 cuentos picantes e ingeniosos, que 7 mujeres y 3 hombres, recluídos por la peste, relatan en 10 días?",La cartuja de Parma,El Decamerón *,Los cuentos de Canterbury
,,,,,,
T034,5,Ciencias y Tecnología,"¿Qué sustancia forma la capa superior de la piel, uñas, pelo, cuernos, escamas,plumas?",Lecitina,Tiamina,Queratina *
,,,,,,
T034,6,Cultura General,"Algunas palabras de uso común son extranjeras y es válido usarlas si ni tienen su equivalente en nuestro idioma,como por ejemplo...",Club *,Partner,performance
,,,,,,
T035,1,México,El Puerto de Lázaro Cárdenas es uno de los mas modernos de América Latina; ¿a qué estado pertenece ?,Colima,Michoacán *,Jalisco
,,,,,,
T035,2,Historia Universal,"¿Qué rey tuvo la feliz idea de construir, en 40 años, el bellísimo palacio de Versalles, donde vivió 33 años 'como príncipe'?",Luis XVI,Luis XV,Luis XIV *
,,,,,,
T035,3,Geografía Universal,¿En la punta de qué continente se comunican el Océano Pacífico y el Atlántico?,Americano *,Africano,Europeo
,,,,,,
T035,4,"Artes, Deportes y Entretenimientos","¿Qué marca de automóviles rivaliza con la Ferrari en la  película Contra lo  imposible, en las 24 horas de Le Mans?",Ford *,Chrysler,Chevrolet
,,,,,,
T035,5,Ciencias y Tecnología,"El virus es el organismo mas pequeño y su tamaño se mide en nanómetros, que equivalen a qué parte de un milímetro ?",Una milésima,Una diezmilésima,Una millonésima *
,,,,,,
T035,6,Cultura General,El museo de historia natural mas completo posee una colección de 126 millones de piezas y especímenes de toda laya. ¿En qué ciudad está?,Washington *,París,Moscú
,,,,,,
T036,1,México,"Los caudillos de la Revolución murieron acribillados en sendas emboscadas, excepto uno, que oficialmente solo recibió seis balazos, quién fué ?",Francisco Villa,Venustiano Carranza,Álvaro Obregón *
,,,,,,
T036,2,Historia Universal,"Fortaleza parisina, símbolo del absolutismo real, cuyo asalto y destrucción marcó el comienzo de la Revolución Francesa...",La Bastilla *,Palacio de Versalles,Museo de Louvre
,,,,,,
T036,3,Geografía Universal,Los continentes terminan en las plataformas continentales que son la parte sumergida de los mismos...¿hasta qué profundidad media?,"2,000 mettros",200 metros *,20 metros
,,,,,,
T036,4,"Artes, Deportes y Entretenimientos",En la Revolución Industrial se explotaba a los niños en las fábricas. ¿Qué obra de Dickens contribuyó a poner fin a esta vil práctica ?,Tom Sawyer,Tom Jones,David Copperfield *
,,,,,,
T036,5,Ciencias y Tecnología,"El agua potable es incolora,inodora e insípida y no mantiene materias disueltas en exceso. Se purifica hirviéndola por el proceso de...",Sublimación,Condensación,Esterilización *
,,,,,,
T036,6,Cultura General,"Rey mitológico condenado a subir incesantemente una piedra a una colina, que al llegar a lo alto, volvía a caer....",Jasón,Thor,Sísifo *
,,,,,,
T037,1,México,¿En qué año estalló la Guerra de Reforma por la aplicación de la constitución que nacionalizaba los cuantiosos bienes del clero?,1858 *,1883,1875
,,,,,,
T037,2,Historia Universal,"¿ué emperador romano se proclamó dios y erigió templos para celebrar ritos en su honor, entre otras muchas barbaridades ?",Calígula *,Claudio César,Tiberio
,,,,,,
T037,3,Geografía Universal,"El pico mas elevado de Grecia, es un monte de casi 3,000 metros de altitud donde, según la mitología, moraban los dioses, ¿cómo se llama este monte?",Olimpo*,Athos,Parnaso
,,,,,,
T037,4,"Artes, Deportes y Entretenimientos","¿Cuál de estos personajes de cuento, que no le produjo ni un centavo, fue creado por el italiano Carlo Collodi?",Popeye,Pinocho *,Gulliver
,,,,,,
T037,5,Ciencias y Tecnología,"La mayoría de los minerales son compuestos químicos, pues los elementos químicos son muy pocos, aquí hay un elemento entre dos compuestos, identifícalo.",Carbono *,Cuarzo,Caliza
,,,,,,
T037,6,Cultura General,"Roma tuvo su propia mitologá, enriquecida con la de Grecia, cuyas deidades adoptó.¿Cuál era su dios principal?",Júpiter *,Apolo,Cronos
,,,,,,
T038,1,México,"¿Cuántos equipos disputan dos veces al año, literalmente a patadas, el título de la Liga MX?",20,22,18 *
,,,,,,
T038,2,Historia Universal,"Las guapas reinas Nefertari y Nefertiti habían podido ganar el concurso de Miss Egipto. Eran, respectivamente  esposas de los faraones Ramsés II y...",Tutankamon,Akenatón *,Tutmosis
,,,,,,
T038,3,Geografía Universal,"¿Cuál ha sido el ciclón ms destructivo de la historia, pues costó a EE:UU 108 mil millones de dólares?",Mitch,Wilma,Katrina *
,,,,,,
T038,4,"Artes, Deportes y Entretenimientos",¿Qué Oscar ganaron tres mexicanos por la película de 2020 El Sonido de metal?,Diseño de vestuario,Sonido *,Maquillaje
,,,,,,
T038,5,Ciencias y Tecnología,"Enfermedad de la sangre, congénita y hereditaria, que solo transmite la mujer y curiosamente solo ataca al hombre ?",Hemofilia *,Hematitis,Hemodiálisis
,,,,,,
T038,6,Cultura General,"Al transcribir un texto ajeno debe hacerse notar usndo este signo de puntuación, para que no digan que es un fusil",Paréntesis ,Guiones,Comillas *
,,,,,,
T039,1,México,"Primer candidato del partido emanado de la Revolución, que llegó al poder venciendo a José Vasconcelos en turbias elecciones...",Pascual Ortiz Rubio *,Emilio Portes Gil,Abelardo Rodríguez
,,,,,,
T039,2,Historia Universal,"Hizo 7 expediciones al ártico y en 1909 fue el primero en alcanzar el Polo Norte, también descubrió que Groenlandia es una isla...",Robert Peary *,Roald Amundsen,Robert Scott
,,,,,,
T039,3,Geografía Universal,"Pequeño principado en Los Pirineos, de 85,000 habitantes, cuya lengua oficial es el catalán",Luxemburgo,San Marino,Andorra *
,,,,,,
T039,4,"Artes, Deportes y Entretenimientos",¿Qué equipo ganó el Super Bowl de 2021?,Patriotas de Nueva Inglaterra,Bucaneros de Tampa Bay *,Águilas de Filadelfia
,,,,,,
T039,5,Ciencias y Tecnología,"En el Sistema Solar hay cientos de miles de cuerpos rocosos que giran entre Marte y Júpiter, cómo se llaman?",Asteroides *,Meteoritos,Aerolitos
,,,,,,
T039,6,Cultura General,"¿Qué país tuvo en 2019 dos presidentes simultáneos, uno producto de un fraude electoral y el otro de una decisión legislativa?",Argentina,Venezuela *,Brasil
,,,,,,
